Province Code	Province Name	Major Commodity	Cumulative Oil (MMBO)	Remaining Oil (MMBO)	Known Oil (MMBO)	Cumulative Gas (BCFG)	Remaining Gas (BCFG)	Known Gas (BCFG)	Cumulative NGL (MMBNGL)	Remaining NGL (MMBNGL)	Known NGL (MMBNGL)	Total Cumulative Petroleum (MMBOE)	Total Remaining Petroleum (MMBOE)	Total Known Petroleum (MMBOE)	Mean Undiscovered Oil (MMBO)	Mean Undiscovered Gas (BCFG)	Mean Undiscovered NGL (MMBNGL)	Total Mean Undiscovered Petroleum (MMBOE)	Oil Endowment (MMBO)	Gas Endowment (BCFG)	NGL Endowment (MMBNGL)	Total Petroleum Endowment (MMBOE)	"Discovery Maturity, Oil (%)"	"Discovery Maturity, Gas (%)"	"Discovery Maturity, NGL (%)"	"Discovery Maturity, Total Petroleum (%)"	Future Oil (MMBO)	Future Gas (BCFG)	Future NGL (MMBNGL)	Total Future Petroleum (MMBOE)
5308	Yucatan Platform	Oil	0	0	0	0	0	0	0	0	0	0	0	0	754	1496	89	1092	754	1496	89	1092	0	0	0	0	754	1496	89	1092
5310	Sierra Madre de Chiapas-Peten Foldbelt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	890	1846	110	1307	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5316	Trans-Mexican Neovolcanic Axis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	30	195	10	72	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5317	Chicontepec Basin	Oil	0	0	0	0	2	2	0	0	0	0	0	0	15	32	2	22	15	34	2	22	1	6	0	2	15	34	2	22
6021	Guyana-Suriname Basin	Oil	17	46	63	0	0	0	0	0	0	17	46	63	15247	42058	2330	24586	15310	42058	2330	24649	0	0	0	0	15293	42058	2330	24632
6022	Foz do Amazonas Basin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	29840	298	5272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6029	Sergipe-Alagoas Basin	Oil	469	223	692	348	1059	1407	1	2	3	528	402	929	1487	8334	415	3292	2179	9741	418	4221	32	14	1	22	1711	9393	417	3693
6034	Espirito Santo Basin	Oil	93	37	130	42	180	222	0	1	1	100	68	169	2959	34287	1612	10285	3089	34509	1614	10454	4	1	0	2	2995	34467	1614	10354
6035	Campos Basin	Oil	1769	8287	10056	303	5941	6244	0	10	10	1819	9287	11107	16293	19691	553	20128	26349	25935	563	31235	38	24	2	36	24580	25632	563	29415
6036	Santos Basin	Oil	6	279	285	12	1113	1125	4	40	44	12	505	517	23209	80547	4194	40828	23494	81672	4238	41344	1	1	1	1	23488	81660	4235	41332
