Total Petroleum System Code	Total Petroleum System Name	Field Type	Total Petroleum System Probability	Oil F95 (MMBO)	Oil F50 (MMBO)	Oil F5 (MMBO)	Oil Mean (MMBO)	Gas F95 (BCFG)	Gas F50 (BCFG)	Gas F5 (BCFG)	Gas Mean (BCFG)	NGL F95 (MMBNGL)	NGL F50 (MMBNGL)	NGL F5 (MMBNGL)	NGL Mean (MMBNGL)
370301	Oligocene-Miocene Lacustrine	oil	1	306.7286126	1014.878875	2303.493716	1126.597913	1368.413862	4734.621895	11698.39707	5404.889721	17.90264036	64.50493362	171.5053032	75.59477677
370301	Oligocene-Miocene Lacustrine	gas	1	NA	NA	NA	NA	5515.067898	17033.21835	34902.83977	18291.54845	102.7684496	330.6733415	746.7654778	365.9572958
370302	Miocene Coaly Strata	oil	1	34.41892223	97.89838685	176.9482564	101.2293069	153.0980701	455.7291544	919.7336176	485.9755932	1.992481822	6.204165399	13.67094301	6.797912797
370302	Miocene Coaly Strata	gas	1	NA	NA	NA	NA	892.1822694	3017.535902	6515.22456	3282.244558	16.5807769	58.58486976	138.5608854	65.63457038
380801	Brown Shale-Sihapas	oil	1	376.5186588	876.3385845	1494.293193	899.4044275	207.9713888	508.7050999	970.6233859	539.0015385	4.524813535	11.90719845	24.94211493	12.92337794
380801	Brown Shale-Sihapas	gas	1	NA	NA	NA	NA	1537.821693	3309.46675	6299.093049	3539.181208	27.74622494	64.76003213	135.0570489	70.83535943
381701	Kutei Basin	oil	1	1385.96581	4790.461217	10066.89499	5144.955855	3625.027617	12966.09431	29921.72358	14393.82762	202.5869444	754.059313	1885.338503	862.9708212
381701	Kutei Basin	gas	1	NA	NA	NA	NA	14643.78289	46796.40723	97973.20496	50363.03356	350.3754564	1143.909238	2554.684853	1259.171899
382201	Bampo-Cenozoic	oil	1	54.03040835	189.575977	446.9315017	213.13821	99.18951391	368.8769852	940.2492519	426.3197457	5.394046999	21.51909321	59.10585395	25.57372361
382201	Bampo-Cenozoic	gas	1	NA	NA	NA	NA	3943.952627	13815.14363	27909.88361	14696.18571	34.14560449	135.9505809	336.8602237	154.9683079
382401	Banuwati-Oligocene/Miocene	oil	1	170.1192996	435.2898369	839.4292788	462.1189683	94.22419206	254.9208747	536.4474208	277.4487956	2.06856067	5.952900383	13.62298394	6.65157224
382401	Banuwati-Oligocene/Miocene	gas	1	NA	NA	NA	NA	138.7296471	527.7771315	1298.920328	596.7932283	2.596533157	10.23934377	27.20809354	11.93244839
382402	Jatibarang/Talang Akar-Oligocene/Miocene	oil	1	80.71515133	182.6035983	353.1698998	195.4680395	146.8963639	356.1963552	751.7773142	391.2998152	8.033270643	20.88275106	47.81126705	23.49524138
382402	Jatibarang/Talang Akar-Oligocene/Miocene	gas	1	NA	NA	NA	NA	2630.291697	5898.73456	10662.68323	6187.721684	22.60023927	58.61466207	132.4641507	65.50498666
382801	Lahat/Talang Akar-Cenozoic	oil	1	204.7701221	441.5925754	824.4656567	468.8169559	368.0047656	861.6944084	1759.169124	938.4857674	20.05160229	50.35683432	112.4781848	56.3181594
382801	Lahat/Talang Akar-Cenozoic	gas	1	NA	NA	NA	NA	6582.731925	16651.50102	30239.8313	17311.76933	58.75105813	164.0773311	371.8338371	182.813884
391001	Milligans-Carboniferous/Permian	oil	1	45.33175769	127.7075408	275.0690659	139.9093087	91.99218998	271.938787	642.3361147	307.7157797	5.103321366	15.87989872	40.45024936	18.49182992
391001	Milligans-Carboniferous/Permian	gas	1	NA	NA	NA	NA	271.4169424	770.6911043	1655.227428	843.4085092	11.03037623	32.87420483	77.16362418	37.07315726
391002	Keyling/Hyland Bay-Permian	oil	1	0	0	0	0	0	0	0	0	0	0	0	0
391002	Keyling/Hyland Bay-Permian	gas	1	NA	NA	NA	NA	2283.944605	9924.793994	23239.73053	10995.28667	93.35798316	424.4601617	1078.846772	483.9069078
391003	Jurassic/Early Cretaceous-Mesozoic	oil	1	337.4587517	1034.0782	2330.326799	1146.182948	685.8573017	2212.614922	5455.94432	2526.755303	38.49632348	129.4831896	340.025768	151.678611
391003	Jurassic/Early Cretaceous-Mesozoic	gas	1	NA	NA	NA	NA	2374.922261	7842.010811	18500.08799	8819.249203	96.95500369	336.325001	858.0311664	388.5320041
391301	Late Jurassic/Early Cretaceous-Mesozoic	oil	1	228.993281	855.1134302	2605.912517	1055.468058	669.9470587	2535.667985	7930.41525	3162.625951	37.80762292	148.2703939	487.5217871	189.7884102
